slug,artist,product_name,category,version,description,price_php,source_price,source_currency,stock_status,release_date,expected_stock_date,goods_code,goods_no,source_url,image_url,source_name,verified_at,verification_status,source_url_verified,image_url_verified
riize-scalp-brush,RIIZE,SCALP BRUSH,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,807.45,13.15,USD,Preorder,2026-09-02,2026-09-02,GD00165028,165028,https://www.ktown4u.com/iteminfo?goods_no=165028,https://media.ktown4u.com/products/resize/thumbnail/2026/06/24/lhVCFK.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
riize-mini-clock,RIIZE,MINI CLOCK,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,959.11,15.62,USD,In Stock,2026-05-15,2026-05-15,GD00158464,158464,https://www.ktown4u.com/iteminfo?goods_no=158464,https://media.ktown4u.com/products/resize/thumbnail/2026/03/03/F3ZMia.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
nct-dream-the-dream-show-4-metal-watch-set,NCT DREAM,THE DREAM SHOW 4 METAL WATCH SET,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,3633.22,59.17,USD,In Stock,2026-06-04,2026-06-04,GD00159476,159476,https://www.ktown4u.com/iteminfo?goods_no=159476,https://media.ktown4u.com/products/resize/thumbnail/2026/03/24/oJVckq.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
yoo-hwe-seung-n-flying-magsafe-card-case-sticker-set-a-ver-brown,Yoo Hwe Seung (N.Flying),MAGSAFE CARD CASE & STICKER SET — A Ver. Brown,Collectable,A Ver. Brown,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1261.83,20.55,USD,In Stock,2026-05-15,2026-05-15,GD00158550,158550,https://www.ktown4u.com/iteminfo?goods_no=158550,https://media.ktown4u.com/products/resize/thumbnail/2026/03/04/nm4W6p.jpg,Ktown4u,2026-08-14,VERIFIED,YES,YES
la-poem-new-era-raincoat,LA POEM,NEW ERA RAINCOAT,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1261.83,20.55,USD,In Stock,2026-07-14,2026-07-16,GD00163901,163901,https://www.ktown4u.com/iteminfo?goods_no=163901,https://media.ktown4u.com/products/resize/thumbnail/2026/06/02/UVKjsa.jpg,Ktown4u,2026-08-14,VERIFIED,YES,YES
u-know-project-26-10cm-doll-keyring,U-KNOW,PROJECT 26 — 10CM DOLL KEYRING,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1009.47,16.44,USD,Sold Out,2026-12-01,2026-12-01,GD00166764,166764,https://www.ktown4u.com/iteminfo?goods_no=166764,https://media.ktown4u.com/products/resize/thumbnail/2026/07/23/berDtX.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
stray-kids-run-it-card-holder-keyring,Stray Kids,RUN IT — CARD HOLDER KEYRING,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1412.88,23.01,USD,Sold Out,2026-11-23,2026-11-23,GD00167144,167144,https://jp.ktown4u.com/iteminfo?goods_no=167144,,Ktown4u,2026-08-14,VERIFIED,YES,NEEDS_MANUAL_VERIFICATION
exo-exo-mungchiz-random-doll-badge,EXO,EXO-MUNGCHIZ — RANDOM DOLL BADGE,Collectable,Random,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,504.73,8.22,USD,Sold Out,2026-10-23,2026-10-23,GD00167321,167321,https://www.ktown4u.com/iteminfo?goods_no=167321,https://media.ktown4u.com/products/resize/thumbnail/2026/07/29/Wfub6F.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
day6-petit-denimalz-plush-hug-ver,DAY6,PETIT DENIMALZ PLUSH HUG Ver.,Collectable,HUG Ver.,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,807.45,13.15,USD,Sold Out,2026-09-14,2026-09-14,GD00165984,165984,https://cn.ktown4u.com/iteminfo?goods_no=165984,,Ktown4u,2026-08-14,VERIFIED,YES,NEEDS_MANUAL_VERIFICATION
hearts2hearts-marine-look-doll-keyring,Hearts2Hearts,MARINE LOOK DOLL KEYRING,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1160.52,18.9,USD,Sold Out,2026-09-14,2026-09-14,GD00165522,165522,https://www.ktown4u.com/iteminfo?goods_no=165522,https://media.ktown4u.com/products/resize/thumbnail/2026/06/29/ZBhyi7.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
aespa-lemonade-doll-wda-ver,aespa,LEMONADE — DOLL (WDA Ver.),Collectable,WDA Ver.,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1614.90,26.3,USD,Sold Out,2026-09-04,2026-09-04,GD00164060,164060,https://www.ktown4u.com/iteminfo?goods_no=164060,https://media.ktown4u.com/products/resize/thumbnail/2026/06/05/PY38Z0.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
riize-archiive2-custom-board-doll,RIIZE,ARCHIIVE² — CUSTOM BOARD DOLL,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1211.48,19.73,USD,Sold Out,2026-09-02,2026-09-02,GD00165034,165034,https://www.ktown4u.com/iteminfo?goods_no=165034,https://media.ktown4u.com/products/resize/thumbnail/2026/06/24/Gvpkw7.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
xdinary-heroes-xdinary-monsters-plush-voice-ver,Xdinary Heroes,Xdinary Monsters PLUSH VOICE Ver.,Collectable,VOICE Ver.,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1514.20,24.66,USD,Sold Out,2026-08-24,2026-08-31,GD00165223,165223,https://www.ktown4u.com/iteminfo?goods_no=165223,https://media.ktown4u.com/products/resize/thumbnail/2026/06/26/Eh5Xt4.jpg,Ktown4u,2026-08-14,VERIFIED,YES,YES
shinee-the-invert-handmade-felt-doll,SHINee,THE INVERT — HANDMADE FELT DOLL,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1110.17,18.08,USD,Sold Out,2026-08-24,2026-08-24,GD00163199,163199,https://www.ktown4u.com/iteminfo?goods_no=163199,https://media.ktown4u.com/products/resize/thumbnail/2026/05/26/7IFBQR.png,Ktown4u,2026-08-14,VERIFIED,YES,YES
girls-generation-19th-anniversary-uv-umbrella,Girls' Generation,19TH ANNIVERSARY — UV UMBRELLA,Collectable,Standard,Official merchandise collectible; see verified Ktown4u source page for exact inclusions/options.,1766.56,28.77,USD,Sold Out,2026-10-06,2026-10-06,GD00167610,167610,https://www.ktown4u.com/iteminfo?goods_no=167610,https://media.ktown4u.com/products/resize/thumbnail/2026/08/04/6M06KZ.jpg,Ktown4u,2026-08-14,VERIFIED,YES,YES
